sampling_lr,lengthscale,delta,eta,alpha,classifier_free_guidance_weight,mean (100th),std (100th),mean (80th),std (80th),mean (50th),std (50th)
0.001,1.0,0.25,0.05,0.95,-1.5,0.9593876525759697,0.013600645603392527,0.8446113020181656,0.015507404088536065,0.7203399389982224,0.008931683202076445
0.001,1.0,0.25,0.05,1.0,-1.5,0.9566833078861237,0.015712445704635616,0.8434242606163025,0.010660903173911383,0.7224988713860512,0.013544774966037927
0.001,1.0,0.25,0.1,0.7,-3.5,0.9242071211338043,0.026059980999030806,0.764017216861248,0.02161798284965765,0.6222886815667152,0.028438653169498906
0.001,1.0,0.25,0.1,0.6,-3.0,0.9415498003363609,0.00827327799752381,0.807403028011322,0.012640593754363088,0.6728452742099762,0.0165719680158271
0.001,1.0,0.25,0.1,0.6,-2.5,0.9471037685871124,0.018090811232430577,0.821661964058876,0.012565070343140366,0.7020611390471458,0.012642427630329111
0.001,1.0,0.25,0.1,0.7,-2.5,0.9442520290613174,0.015188168253477354,0.8183281123638153,0.011181086609935012,0.6882388293743134,0.01834242492417577
0.001,1.0,0.25,0.1,0.75,-2.5,0.943226233124733,0.021905368087519257,0.811584934592247,0.00980755652359365,0.6856108903884888,0.017902409579016763
0.001,1.0,0.25,0.1,0.8,-2.5,0.9461451321840286,0.018512195895672455,0.8143377006053925,0.011355185537854797,0.6845767349004745,0.013385206873906217
0.001,1.0,0.25,0.1,0.85,-2.5,0.9485313892364502,0.009294405867335574,0.8184576109051704,0.010889768815272117,0.6738099008798599,0.02410227387759149
0.001,1.0,0.25,0.1,0.8,-2.0,0.9619662761688232,0.012791217985101425,0.8295929655432701,0.009231640890807052,0.7040977105498314,0.009864928896822852
0.001,1.0,0.25,0.1,0.85,-2.0,0.9463753998279572,0.017927431058035726,0.8323897942900658,0.003760227011546301,0.713239312171936,0.009853271743142062
0.001,1.0,0.25,0.1,0.9,-2.0,0.94436264783144,0.01943715936390032,0.8332198932766914,0.013810274034668944,0.7060201913118362,0.011608200573970773
0.001,1.0,0.25,0.1,0.95,-2.0,0.9517995342612267,0.01598122141732014,0.8265456929802895,0.008718736969768564,0.7032039687037468,0.012505226538150054
0.001,1.0,0.25,0.1,1.0,-2.0,0.943511538207531,0.013656377497817205,0.8273254707455635,0.01678881951706068,0.6961666867136955,0.00948715116554547
0.001,1.0,0.25,0.1,0.6,-1.5,0.9636764228343964,0.008718826213055711,0.8458895906805992,0.00987877246311905,0.7157169803977013,0.008627066900057516
0.001,1.0,0.25,0.1,0.65,-1.5,0.954847626388073,0.016255035201837065,0.8415928557515144,0.008555599993209324,0.7194479778409004,0.0074541316766531095
0.001,1.0,0.25,0.1,0.7,-1.5,0.9503396600484848,0.01621868867477176,0.8453360944986343,0.015067995463647238,0.7176823541522026,0.01008975638382958
0.001,1.0,0.25,0.1,0.75,-1.5,0.9637486487627029,0.008991431794621231,0.8405403271317482,0.010947693782620989,0.7221961468458176,0.01196599147627884
0.001,1.0,0.25,0.1,0.8,-1.5,0.9528239741921425,0.01168933142316993,0.8481391966342926,0.009756832285284667,0.7186925634741783,0.015013366880369397
0.001,1.0,0.25,0.1,0.85,-1.5,0.9520112499594688,0.012323272488345346,0.8461028337478638,0.010860551293030284,0.7225099503993988,0.014298066895830202
0.001,1.0,0.25,0.1,1.0,-1.5,0.96549953520298,0.01620500707307665,0.8382135480642319,0.008308855336527539,0.7214139327406883,0.013044177863457313
0.001,1.0,0.25,0.15,0.65,-4.0,0.9129553735256195,0.02124598843296624,0.7488035708665848,0.017813563451387363,0.600874625146389,0.04172228040558451
0.001,1.0,0.25,0.15,0.6,-2.5,0.9531766846776009,0.01389769672458429,0.8316671773791313,0.008311118588508424,0.699250802397728,0.009342375956034177
0.001,1.0,0.25,0.15,0.65,-2.5,0.9460064992308617,0.01462539997360961,0.8199352100491524,0.00950178771867879,0.6912622228264809,0.01748124797240162
0.001,1.0,0.25,0.15,0.7,-2.5,0.9407259374856949,0.012809720291621945,0.8090537190437317,0.01853031591689705,0.6900303810834885,0.017489402775119876
0.001,1.0,0.25,0.15,0.75,-2.5,0.9384931027889252,0.01356830512692659,0.8148773834109306,0.012340858011704661,0.683846153318882,0.024481956545408114
0.001,1.0,0.25,0.15,0.8,-2.5,0.9317484945058823,0.017847280383604298,0.8142896741628647,0.016546134507060543,0.6871398091316223,0.020407840688993407
0.001,1.0,0.25,0.15,0.6,-2.0,0.9485352262854576,0.008369576465556798,0.8417049795389175,0.008161802762055661,0.7130164057016373,0.01397478186749121
0.001,1.0,0.25,0.15,0.65,-2.0,0.9499913826584816,0.012576225132954706,0.8375932350754738,0.011442375750178826,0.712812528014183,0.012972475798183029
0.001,1.0,0.25,0.15,0.7,-2.0,0.9519424214959145,0.016045094540406743,0.8367354422807693,0.010197782586378221,0.718745231628418,0.008834840995788122
0.001,1.0,0.25,0.15,0.8,-2.0,0.9532958418130875,0.011747859967015517,0.8310507833957672,0.01165390168880628,0.7094360962510109,0.015417927033222829
0.001,1.0,0.25,0.15,0.85,-2.0,0.9490319862961769,0.011332748854862242,0.8358777016401291,0.010561561466398974,0.7089455723762512,0.010202177560499468
0.001,1.0,0.25,0.15,0.9,-2.0,0.945168524980545,0.014822509258276875,0.8277629241347313,0.01517249784505373,0.7026481702923775,0.015849313983815304
0.001,1.0,0.25,0.15,0.95,-2.0,0.9446419179439545,0.017548147942087703,0.8208313509821892,0.022409403500705364,0.6933363899588585,0.01692075365435253
0.001,1.0,0.25,0.15,1.0,-2.0,0.9478644356131554,0.007892388104929792,0.8200290650129318,0.013131894957943207,0.697145015001297,0.012669937226501051
0.001,1.0,0.25,0.15,0.6,-1.5,0.9604722708463669,0.015247616252826342,0.8389999866485596,0.008293509732864541,0.7175630629062653,0.01606733572567791
0.001,1.0,0.25,0.15,0.65,-1.5,0.9536328092217445,0.020639767003491433,0.8428334519267082,0.009570453747265641,0.7193311750888824,0.012266436779325334
0.001,1.0,0.25,0.15,0.7,-1.5,0.956894226372242,0.01757879687767006,0.8384672105312347,0.012151888463883034,0.7211560904979706,0.012622354384222344
0.001,1.0,0.25,0.15,0.75,-1.5,0.9632768630981445,0.012484504046309897,0.8444329276680946,0.009374562436345026,0.7152069061994553,0.011861496483761991
0.001,1.0,0.25,0.15,0.8,-1.5,0.9583871439099312,0.00906409325700416,0.8427812829613686,0.012094707791473673,0.7157076895236969,0.013385643913448172
0.001,1.0,0.25,0.15,0.85,-1.5,0.9586538597941399,0.012065930700561892,0.8431441858410835,0.005664221338127606,0.7149090319871902,0.016994370016798998
0.001,1.0,0.25,0.2,0.65,-4.0,0.9293400049209595,0.022821495003371297,0.7584254145622253,0.02311108886283063,0.5979127809405327,0.04133691854404894
